,First Name,Last Name,Gender,Age,Email,Phone,City,Street Address,LAT/LON,Zip Code,Account Number,Date Opened,BU_id,SU_id,staff_id,acc_Mode,acc_type,dss_id
0,Lenny,Montgomery,Male,40,l.montgomery@randatmail.com,461-1598-67,Yogyakarta,"P.O. Box 246, 125 Mauris Ave","4.60267, -39.82472",57291-104,1065873462,20160114,B0109,S0023,5725,active,1,A101
1,Sawyer,Thomas,Male,48,s.thomas@randatmail.com,466-4119-17,Kearney,"Ap #525-8083 Sem, Street","32.01805, -154.74432",M14 4FN,1147231379,20160114,B0109,S0023,5725,active,2,A101
2,Alexia,Cooper,Female,46,a.cooper@randatmail.com,233-6459-12,San Lorenzo Nuovo,973-1996 Ac Road,"-41.34886, -4.00678",695823,1031812057,20160114,B0109,S0023,5725,active,2,A101
3,Maddie,Foster,Female,46,m.foster@randatmail.com,643-1617-67,Gulbarga,"904 Tortor, Av.","15.66998, -47.80446",29900-476,1042001647,20160114,B0109,S0023,5725,active,1,A101
4,Sydney,Brown,Female,44,s.brown@randatmail.com,989-0066-96,Modakeke,Ap #317-4753 Cursus Av.,"64.11485, 96.4968",16810,1063983770,20160114,B0109,S0023,5725,active,2,A101
5,Ryan,Rogers,Male,46,r.rogers@randatmail.com,112-5587-31,Eugene,"P.O. Box 705, 2838 Lorem Av.","-57.42967, 3.41241",164159,1149876363,20160114,B0109,S0023,5725,active,2,A101
6,Ashton,Brooks,Male,45,a.brooks@randatmail.com,615-9325-27,Ila,657 Sed Av.,"-56.64956, -118.9471",19-086,1183436408,20160114,B0109,S0023,5725,active,2,A101
7,Michael,Cameron,Male,42,m.cameron@randatmail.com,383-9810-25,Ruvo del Monte,615-6915 Donec Road,"37.6543, 140.44082",4601 SN,1156840975,20160114,B0109,S0023,5725,active,1,A101
8,Amber,Phillips,Female,49,a.phillips@randatmail.com,140-9327-63,Romeral,8534 Fusce Road,"50.45705, -117.63495",604760,1028823282,20160114,B0109,S0023,5725,active,1,A101
9,Kellan,Stewart,Male,46,k.stewart@randatmail.com,344-8053-22,Bhakkar,6499 Fringilla Rd.,"-25.61728, -169.13364",652620,1103059920,20160114,B0109,S0023,5725,active,2,A101
10,Byron,Myers,Male,46,b.myers@randatmail.com,451-3525-20,Aurora,260-8332 Eros Rd.,"-86.60515, -140.69288",712768,1134265487,20160114,B0109,S0023,5725,active,2,A101
11,Daryl,Harris,Male,41,d.harris@randatmail.com,514-8785-50,Stourbridge,"P.O. Box 478, 1472 Iaculis St.","-54.34152, -125.30149",14839,1027917044,20160114,B0109,S0023,5725,active,2,A101
12,Myra,Craig,Female,45,m.craig@randatmail.com,885-4664-08,Valpara�?so,631-8363 Nec Avenue,"-56.97251, -60.84385",8623,1001273207,20160114,B0109,S0023,5725,active,2,A101
13,Antony,Armstrong,Male,50,a.armstrong@randatmail.com,025-3963-49,Husum,Ap #766-9123 Quisque Rd.,"88.06737, 92.87822",832,1151664071,20160114,B0109,S0023,5725,active,2,A101
14,Clark,Harper,Male,47,c.harper@randatmail.com,328-7661-86,Fremantle,"P.O. Box 885, 472 Ac, Street","-28.05697, 113.0762",111964,1184110794,20160114,B0109,S0023,5725,active,2,A101
15,Garry,Walker,Male,47,g.walker@randatmail.com,747-1283-55,Saint-L̫,8596 Ipsum. St.,"-30.83101, -18.88426",Z6246,1162191898,20160114,B0109,S0023,5725,active,2,A101
16,William,Payne,Male,49,w.payne@randatmail.com,061-1872-49,Raipur,"993-3231 Eu, Av.","51.11565, 14.18226",30315,1057143410,20160114,B0109,S0023,5725,active,2,A101
17,Abraham,Crawford,Male,44,a.crawford@randatmail.com,992-7248-98,Weelde,"P.O. Box 792, 8776 Ac Street","14.91772, 124.75241",6235 GY,1066891234,20160114,B0109,S0023,5725,active,2,A101
18,Sam,Smith,Male,44,s.smith@randatmail.com,077-1868-53,Klemskerke,2599 Vivamus St.,"71.12451, -78.9399",2576 JG,1027820402,20160114,B0109,S0023,5725,active,1,A101
