,First Name,Last Name,Gender,Email,Age,Phone,Street Address,staff_id,rank,bu_id,su_id
0,Lenny,Montgomery,Male,l.montgomery@randatmail.com,40,461-1598-67,"P.O. Box 246, 125 Mauris Ave",5060,Route Marshal,B0109,S0023
1,Sawyer,Thomas,Male,s.thomas@randatmail.com,48,466-4119-17,"Ap #525-8083 Sem, Street",6110,Route Marshal,B0109,S0023
2,Alexia,Cooper,Female,a.cooper@randatmail.com,46,233-6459-12,973-1996 Ac Road,573,Route Marshal,B0109,S0023
3,Maddie,Foster,Female,m.foster@randatmail.com,46,643-1617-67,"904 Tortor, Av.",7441,Route Marshal,B0109,S0012
4,Sydney,Brown,Female,s.brown@randatmail.com,44,989-0066-96,Ap #317-4753 Cursus Av.,6013,Route Marshal,B0109,S0012
5,Ryan,Rogers,Male,r.rogers@randatmail.com,46,112-5587-31,"P.O. Box 705, 2838 Lorem Av.",2520,Route Marshal,B0109,S0012
6,Ashton,Brooks,Male,a.brooks@randatmail.com,45,615-9325-27,657 Sed Av.,1031,Route Marshal,B0109,S0012
7,Michael,Cameron,Male,m.cameron@randatmail.com,42,383-9810-25,615-6915 Donec Road,6566,Route Marshal,B0109,S0012
8,Amber,Phillips,Female,a.phillips@randatmail.com,49,140-9327-63,8534 Fusce Road,5250,Service Manager,B0109,
9,Kellan,Stewart,Male,k.stewart@randatmail.com,46,344-8053-22,6499 Fringilla Rd.,760,Service Manager,B0109,
10,Byron,Myers,Male,b.myers@randatmail.com,46,451-3525-20,260-8332 Eros Rd.,4859,Human Resources,B0109,
11,Daryl,Harris,Male,d.harris@randatmail.com,41,514-8785-50,"P.O. Box 478, 1472 Iaculis St.",9634,Data Analyst,B0109,
